Name,MaxHp,Defense,BaseVisual,Color,Actions,Domain,Move.Range,Move.IgnoreTerrain,Move.IgnoreUnitBlocking,Move.AllowDiagonal,Attack.Attack,Attack.Range,Heal.Amount,Heal.Range
보병,10,1,Melee,#3D8B3D,Move;Attack;Charge;Fortify,Land,3,False,False,False,4,1,0,0
방패병,16,5,Guard,#4D6FA8,Move;Attack;Fortify,Land,2,False,False,False,3,1,0,0
검투사,11,0,RogueHooded,#C74A3C,Move;Attack;Charge,Land,3,False,False,False,7,1,0,0
기병,10,0,Melee,#B8860B,Move;Attack;Charge;Retreat,Land,5,False,False,False,5,1,0,0
기사,15,3,SkeletonWarrior,#8899AA,Move;Attack;Charge;Combo,Land,3,False,False,False,9,1,0,0
궁병,8,0,Ranged,#77AA33,Move;Attack;Charge;Fortify,Land,3,False,False,False,4,3,0,0
투석기,9,0,Ranged,#996633,Move;Attack;Stiff,Land,1,False,False,False,10,4,0,0
사제,10,1,Mage,#33CC88,Move;Attack;Heal;Convert;Stiff;Anchored,Land,2,False,False,False,2,1,5,3
스파이,7,0,RogueHooded,#663399,Move;Attack;Charge;Infiltrate;Stealth;Pillage;Anchored,Land,4,True,False,False,9,1,0,0
뗏목,6,0,Mage,#C2B280,Move;Transport;Anchored,Water,3,False,False,False,0,0,0,0
정찰선,9,0,Ranged,#3399CC,Move;Attack;Charge;Transport;Anchored,Water,4,False,False,False,4,1,0,0
충각선,13,1,Guard,#336699,Move;Attack;Charge;Transport;Anchored,Water,3,False,False,False,8,1,0,0
범선,20,2,SkeletonWarrior,#1F3A5F,Move;Attack;Splash;Stiff;Transport;Anchored,Water,2,False,False,False,13,2,0,0
