Id,Name,MaxHp,Defense,BaseVisual,Actions,Domain,Move.Range,Attack.Attack,Attack.Range,Heal.Amount,Heal.Range,Transport.Capacity,Cost
melee,Melee,12,1,Melee,Move;Attack;SelfDestruct,Land,3,5,1,0,0,0,2
ranged,Ranged,8,0,Ranged,Move;Attack;Heal,Land,2,4,3,4,2,0,3
guard,Guard,9,3,Guard,Move;Attack;Defend;Counter,Land,2,3,1,0,0,0,3
cleric,Cleric,10,1,Mage,Move;Attack;Heal;Defend;Counter,Land,2,2,1,4,3,0,5
duelist,Duelist,9,0,RogueHooded,Move;Attack;Charge;Retreat,Land,3,4,1,0,0,0,3
assassin,Assassin,7,0,RogueHooded,Move;Attack;Ambush;Infiltrate,Land,3,5,1,0,0,0,3
shaman,Shaman,9,1,SkeletonMage,Move;Attack;Herd,Land,2,2,2,0,0,0,3
cultist,Cultist,8,1,SkeletonMage,Move;Attack;Convert,Land,2,3,1,0,0,0,3
berserker,Berserker,10,0,Melee,Move;Attack;Combo,Land,2,4,1,0,0,0,3
ranger,Ranger,8,0,Ranged,Move;Attack;Scout,Land,3,3,2,0,0,0,3
catapult,Catapult,9,0,Ranged,Move;Attack;Splash,Land,2,4,3,0,0,0,8
golem,Golem,14,2,SkeletonWarrior,Move;Attack;Stiff,Land,1,3,1,0,0,0,3
ice_mage,IceMage,7,0,Mage,Move;Attack;Freeze,Land,2,2,2,0,0,0,3
